Source,Relation,Target,Weight
tenants,ACCOUNT FOR,17.1 % of the population of the punjab hills,1
non-family labour,PROVIDED BY,heavy agricultural operations,1
community,CAN BE DEFINED AS,"the limits of, first, the networks... and second, the natural resource base",1
village,USUAL RANGE OF SIZE,between 200 to 1000 individuals,1
agricultural yields,WERE LOW IN RELATION,the seed sown,1
agricultural yields,WERE LOW,to the area of cultivable land,1
agricultural work,INVOLVED,building and maintaining terraces,1
agricultural work,INVOLVED,cutting irrigation water channels,1
himalayan villages,HAS NO PROPER DATA ON THE SIZE AND COMPOSITION,the official documents,1
revenue administration,WAS FORMED KEEPING IN MIND,conveniences of revenue administration,1
kullu,REPORTED YIELD FOR,irrigated rice,1
waziris rupi and saraj,REPORTED YIELD FOR,rice,1
pastoral herds,WAS GIVEN TO,adolescent children or the aged,1
hill state,HAD DEMANDS ON SPECIAL OCCASIONS,begar,1
artisan manufacture,WAS USED UP,for survival of non-productive members of the community,1
social labour,PROVIDED SOCIAL LABOUR FOR INDIVIDUAL PURPOSES,individual purposes,1
hill state,USED FOR DEVELOPING FORMS OF APPROPRIATION OF SOCIAL LABOUR,institutions like the hill state and the deity,1
labour of agricultural labourers,WAS OF THE LATTER TYPE,women and children,1
labour of brothers in a polyandrous family,WAS OF THE FORMER TYPE,labor,1
labour of women and children,HAD LACK OF POLITICAL CONTROL OVER ITS PRODUCT,product,1
peasant family,CONTROLLED ITS PRODUCT,land and other natural resources under its possession,1
peasant family,HAD NO CONTROL OVER,begar,1
labour,WAS NOT CONFINED TO THE INDIVIDUAL PEASANT FAMILY,social in nature,1
labour,WAS_REQUISITIONED,family,1
peasant families,PROVIDED,labour,1
clan,PROVIDED,labour,1
hill state,DEMANDED,six months of one male member's labour per family,1
institutions,DEMANDED,labour,1
individual,TILLED,his own field or division of land,1
villagers,AIDED,other villagers,1
family,GIVES,labour,1
people of the village or phati,TURN OUT TO HELP,him,1
participants,ARE FED,at his expense,1
bhaichara,IS_REQUISITIONED_FROM,other members,1
"kolis, doms, dagis",PROVIDED,beth (labour),1
this agricultural labour,WAS GIVEN TO,peasant landholders,1
this agricultural labour,WAS PROVIDED TO,individual families who had cultivable fields,1
this agricultural labour,WAS GIVEN TO,the royal family on its agricultural holdings which were called bassa,1
the system called bowara,IS EMPLOYED WHEN,"extra field labour is required, as for instance at harvest",1
the first zamindar,CALLS IN ALL HIS NEIGHBOURS,"to help him, and gives them their food during the time they are employed",1
bethus,WERE HEREDITARILY ATTACHED TO,their masters who could transfer this bondage to others,1
payment for beth,WAS GIVEN THROUGH,chhak and a share in the harvest,1
bushahr,HELD,less land,1
punjab hill states agency,POLICY REGARDING BETH,simla hill states/estates,1
mohan singh rathore,NINETEENTH CENTURY CIS-SUTLEJ HILL STATES,"h.p. university, simla",1
jai deep negi,BEGAR AND BETH SYSTEM,himachal pradesh,1
phsa,BEGAR IN THE SIMLA HILL STATES,"1939, bundle 19, no. 146",1
gazetteer of the simla hill states,BAGHAL STATE,"lahore, 1935, chapter 2b",1
simla district gazetteer,"1904, LAHORE","pg. census of india, 1911, op.cit., pg.",1
agriculture,DEPENDANT ON THE LABOUR OF WOMEN AND RITUALLY SERVILE AGRICULTURAL LABOUR,none,1
himalayan social relations,BASED ON SOME FORM OF AN EGALITARIAN COMMUNITY OF POLITICALLY EQUAL PRODUCERS,none,1
kolis,"HAD TO TEND THE FLOCKS OF THE ROYAL FAMILY, THE LOCAL DEITY AND ALSO THE VILLAGE COMMUNITY",none,1
becoming india,MANUFACTURE,artisan goods,1
artisan groups,WORK WITH,tools,1
dominant village community,CONTROL,servile groups,1
village deity,CONTROL,servile groups,1
ruler of the tract,CONTROL,servile groups,1
leather workers,RISE IN SOCIAL STANDING,none,1
carpenters,RISE IN SOCIAL STANDING,none,1
western himalayas,FORMS OF PRODUCTION,"agriculture, pastoralism and domestic artisan manufacture",1
himalayan economy,CONTRIBUTE TO,revenues of the hill state,1
trade,EXCHANGE,pastoral and forest products for goods required by the pastoralists and peasants,1
himalayan villagers,HAVE LOCAL LEVEL NETWORKS,resources not available within the village limits,1
settled agriculture,PRACTISED,seventh century ad at least,1
agricultural production,ORGANISED,similar technology used in the entire region under consideration,1
land,POSSESSED BY,various families within the same village or lineage group,1
peasant families,POSSESS LAND,whose produce was not sufficient for their dietary needs,1
some families,HAD,land,1
agricultural labourers,EMPLOYED,regularly,1
land,LEASED OUT,tenants,1
peasants,BECAME INDEBTED,other peasants,1
kullu,HAD,average size of land in the control of one family (3 acres),1
barnes,GAVE,average amount of cultivation held by each ‘assamee’ (1.45 acres),1
jubbal state,HAD,amount of land held on an average by the proprietary peasants (more than 12 acres),1
bushahr,HAD,average holding (a little more than six acres) in the early twentieth century,1
peasant families,HAD ACCESS TO,some irrigated land and some well manured land near the homestead,1
beth labourers,WORKED ON,holdings that were too large to be worked on by family labour,1
hill states,HAD A NOTICEABLE PROPORTION OF THE AGRICULTURAL LAND UNDER THE CONTROL,relatives of the ruler and other state officials,1
agricultural labour,REQUIREMENT,maximum during summer,1
peasants,ATTEMPTED,get two harvests between spring thawing and autumn snow,1
winter,BECAME,period for rest from agricultural operations,1
bhaichara,RECIPROCAL LABOUR OF,kolis,1
crops,COULD BE KEPT IN STORE FOR AS LONG,a hundred years without rotting or catching pests,1
deep chand tomar's family,KEPT IN THE GRANARY OF,old coarse grain,1
agriculture,PRODUCED,negligible surpluses,1
pastoralism,NECESSITATED THE CONTINUATION OF MODES OF PRODUCTION MUCH INFERIOR IN THEIR PRODUCTIVE CAPABILITIES,reproduction of life and sustenance of hill state structures,1
himalayan economy,WAS LINKED WITH AGRICULTURE IN RELATIONS THAT OVER TIME CAME TO ACQUIRE FEATURES THAT MADE THEM SYMBIOTIC ON EACH OTHER,pastoral cycle,1
gaddis and gujars,HAD THEIR 'RUNS' SPREAD OUT OVER VARIOUS CLIMATIC ZONES,alpine pastures during summer and low hills during winter,1
flocks,TOOK TO THE ALPINE PASTURES DURING SUMMER AND BROUGHT DOWN INTO THE LOW HILLS DURING WINTER,main feature of gaddi and gujar life,1
community,CATEGORISE,agricultural or pastoral,1
pastoral groups,MOVE,lower hills bordering the plains of punjab,1
old members,CONTINUE,residence in high mountain village sites,1
herds,DIFFER,in number per family and geographical restriction,1
younger brother or children,CHARGE,moving the herds in their seasonal migration,1
kolis,BE CHARGED WITH,moving the herds in their seasonal migration,1
flock,REMAIN,within the confines of the beas river valley,1
peasant flocks,MOVE,"much further than this as in mandi, bashahr, sirmur and jubbal",1
nomadic pastoralists,TRAVEL,from the borders of the trans-himalayan ranges till the foothills and plains of punjab,1
herds,MOSTLY TRAVEL,from the higher reaches of the valley of their residence to its lower reaches,1
pastures,BELONG TO,the domain of their clan deity,1
agricultural communities,CLAIM,special rights on them,1
pastoral wealth,PROVIDE,"protein, wool, dairy products and revenue",1
occupations,INVOLV,like pastoralism and foraging and gathering,1
agricultural communities,PRODUCE,surplus,1
populations,SUSTAIN,non-agricultural populations and hill state,1
artisan production,FOUND,western himalayas,1
technology,LEVEL OF,50,1
women,DO,spinning and weaving,1
population,WEAR,woollen clothes,1
rulers,USE,cotton cloth,1
trading families,PROCURE,cotton cloth,1
peasants,NEED,honey and milk products,1
various groups,PRODUCE,menial and servile goods,1
masons,FIND,skilled work,1
carpenters,FIND,skilled work,1
smiths,FIND,skilled work,1
shoemakers and leather workers,FIND,skilled work,1
ore,SMELTED WITH,charcoal,1
water mills,MADE AND OPERATED,grinding wheat and other cereals,1
rivers,BRIDGED,using deodar trees,1
these houses,MADE OF,wood,1
these houses,MADE OF,locally hewn stone,1
these houses,ROOFED WITH,slates,1
bamboo working,SKILL FOUND IN HILLS LIKE,bamboo,1
rope making,SKILL FOUND IN HILLS LIKE,rope,1
bow and arrow making,SKILL FOUND IN HILLS LIKE,arrows,1
collecting special plants from forests,SKILL FOUND IN HILLS LIKE,plants,1
trade,INVOLVED IN,trans-himalayan trade,1
pastoral groups,INVOLVED IN,trans-himalayan trade,1
agricultural populations,INVOLVED IN,trans-himalayan trade,1
water-mills,TURN TWO STONES CONTRARY WAYS,stones,1
families,PRIMARILY ARTISANS LIKE,goldsmiths,1
families,PRIMARILY ARTISANS LIKE,carpenters,1
families,PRIMARILY ARTISANS LIKE,workers at iron foundries,1
local networks of exchange,ENABLES OPTIMAL USE OF AVAILABLE RESOURCES WITHIN ITS SPREAD BY DIFFERENT PEASANT COMMUNITIES THAT RESIDED THERE,peasant communities,1
one,IS HANDICAPPED,because,1
most of the data,COMES FROM,british sources,1
the trade,HAD SEEN SOME MAJOR CHANGES,from the pre-british period,1
the volume of trade,IS CONSIDERED HERE,value of the products involved,1
a 1868 report,PROVIDES A DETAILED ACCOUNT OF,the trade in the region,1
the lavi' trade fair,WAS HELD AT,rampur-bashahr,1
the hill states,HAD THEIR CUSTOMS AND DUTIES ABOLISHED,by the british government,1
records of the financial commission,SHOW THAT,the fair has historically been part of a larger trade network,1
goods from the plains,WERE EXCHANGED FOR,products of the himalayan region,1
merchandise,AMOUNTED TO,"over two lakh, twenty one thousand rupees",1
the total volume,WAS A DECLINE FROM EARLIER AMOUNTS,due to an epidemic of cholera,1
the british government,GAVE ENCOURAGEMENT TO OTHER TRADE ROUTES,through palampur and from leh to kashmir,1
traders from the plains,BROUGHT,"rs 1,16,441, annas 10, paise 7",1
traders of the trans-himalayan region and those from the plains of hindustan,MADE UP,94% of the value of the trade of this fair,1
kullu goods,HAD A TOTAL VALUE OF,"rs 8,300, annas 4, 65",1
bushahr goods participating in this fair,HAD A VALUE OF,"rs 3,429, annas 12, paise 9",1
trans-himalayan goods,ESTIMATED TO BE WORTH,"rs 1,39,953 and 8 annas",1
normal sheep wool,WORTH,"approximately rs 40,520",1
pushum wool,WORTH,"rs 77,640",1
charrus,WORTH,"rs 10,080",1
goodma dohur lank (a local herb),WORTH,"rs 6,050",1
himalayan ponies,WORTH,"rs 3,750",1
traders from the plains,TRADED FOR,"jewels, utensils, cloth, and food items like wheat, sugar, spices, etcetera apart from cash",1
local economy,GOT MOST OF THE MONEY THAT WAS BROUGHT TO THE FAIR,very little cash,1
trans-himalayan traders,CAME,with their beasts of burden,1
traders from the plains,COULD NOT NEGOTIATE,the narrow mountain paths,1
hill state and the local deity,REQUIRED PAYMENT,specific dues,1
this labour,WAS NECESSARY FOR,agricultural families,1
the hill state,CONTROLLED,movement of goods,1
himalayan state,APPROPRIATED,a part of the resources and wealth,1
this trade,ENABLED,transformation of pastoral wealth into cash,1
people of the plains,FOUND TO BE COMPLETELY UNFIT,laborious tasks,1
people,UNDERSTAND,productive activities,1
agriculture,CONDITIONED BY,seasons,1
labour,PUT IN,terrace the valley gradient and to cut the irrigation channel,1
crops,GROWN IN ROTATION,four to six growing seasons,1
lands' fertility,NECESSITATED BY,producing the greatest variety of food crops that were feasible,1
himalayan peasants,INSURANCE AGAINST,famine and declining fertility of the soil,1
kullu peasants,GREW,different crops,1
sheep and goats,BEGAN MOVING UP FROM,low hills and valleys,1
herds,CAME BACK DURING AUTUMN,migration to the low hills and valleys,1
social relations,ENABLED,fertilising and grazing of stumps by these herds,1
forests,INTERDEPENDENT WITH,agriculturists and pastoralists,1
peasant family,HAD TO COMBINE,"agriculture, pastoralism, foraging, and gathering",1
kullu region,CONTAIN,detailed information,1
mountain economy,SUSTAIN,its own reproduction,1
pre-modern agricultural communities of the plains,BE,more vulnerable,1
emergent states,GAIN SUPREMACY OVER,lineages in western himalayas,1
gurkhas,SUBDUE,western himalayas,1
british,SUBDUE,western himalayas,1
deity,EXPRESS WILL THROUGH,oracle or goor,1
divine functionaries,CARRY OUT WORK ON BEHALF OF,deity,1
goor,TRANSFER DIVINE COMMUNION FROM ONE TO ANOTHER,situations,1
clan deity,HAVE SUPERNATURAL POWER,power,1
khumri,REPRESENT,deity in its dealings with hill state and other similar communities,1
agricultural labourers and village menials,BE EXCLUDED FROM MEMBERSHIP OF,khumri,1
hill state,LEVY REVENUE DEMAND ON EVERY COMMUNITY,revenue demand,1
rose,ILLUSTRATE,manner of divine selection and divine control,1
emerson,ILLUSTRATE,manner of divine selection and divine control,1
the head of the khumri,BE ELECTED,from among all its members,1
the seana's person,LEGITIMIZE,his personal claim over his political authority,1
one such community,EXPERIENCE,near revolt among the peasants,1
the oracle of the clan deity,SPEAK,for the clan god,1
the khumri,DELIBERATE,practically all matters concerning the daily functioning of the clan,1
the deity,APPOINT,functionaries,1
peasants,TURN TO,the deity for redress,1
the seana,CONTRAST WITH,the divine appointment of the deity's functionaries,1
the khumri,REGULATE,agricultural cycle,1
the deity,CONTROL,social life of the clan,1
the deity,REGULATE,inner life of the khumri,1
a person,HAVE ALLEGIANCE TO,the lineage,1
the hill state,DEMAND,revenue from all members of the clan,1
khumri,DISCOURAGE,partition of land between brothers,1
state,USE INSTRUMENTS,social opprobrium and heavy fines and taxes,1
state or deity,DEMAND,revenue and begar,1
families of the clan,POSSESS,resources within the domain of their deity,1
individual families,HOLD,"agricultural land, cattle, sheep & goats, homestead and such things",1
state,EMERGE,from condition of pre – eminence of the clan deity in the affairs of the community,1
emerson,TRACE,"development of kingship in bashahr, mandi and their neighbouring states",1
rulers,REMAIN,influence of the deity over their authority,1
clan deities,EXERCISE AUTHORITY,over lineages or clans which could shift both their allegiance and their residence,1
conquering british,GRANTED SIMILAR STATUS TO,all forms of political authority,1
western himalayas,CLAIMED ITS ORIGIN FROM ANCESTORS,high caste groups from the plains,1
ruling dynasty,CLAIMED DESCENT FROM,ancestors who belonged to high caste groups,1
